F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
-24,180,-4.68,19.3,30,6.9,-296.34,29.06,-6.57,16.82,-4.88,-6.6,-746.22,-1.56,-5.53,False
1,69,-7.11,3.36,3,0.61,-86.34,20.08,4.11,19.38,-5.92,0.28,-476.22,0.6,,True
-1,15,-10.44,0.56,3,0.84,-56.34,20.18,3.21,18.86,-5.86,0.58,-488.22,0.75,-7.8,True
-1,111,-7.55,3.4,3,0.31,-134.34,19.68,6.33,25.14,-9.34,1.2,-466.22,0.96,,False
-4,1035,-4.63,17.7,30,7.6,123.66,35.56,-11.7,10.12,-6.28,-9.82,-746.22,-3.99,-6.95,False
-3,126,-6.75,3.78,3,0.53,-134.34,19.8,4.83,23.08,-6.21,3.1,-454.22,1.63,,True
-1,165,-6.82,0.44,3,0.66,-149.34,20.62,6.54,27.46,-6.14,1.28,-522.22,3.46,-6.99,True
-1,15,-6.8,3.28,3,0.12,-86.34,20.2,3.6,20.1,-5.56,3.5,-500.22,1.64,,False
-14,300,-2.04,11.5,30,9.45,-101.34,31.56,-10.74,10.04,-5.57,-9.74,-726.22,-3.45,,True
-14,975,-4.84,15.8,30,5.15,-71.34,32.56,-6.6,12.84,-8.81,-7.7,-606.22,-2.07,-7.08,False
-3,39,-7.26,0.44,3,0.57,-152.34,20.3,8.73,19.12,-5.46,1.26,-492.22,1.17,,True
-4,240,-2.86,26.5,30,6.6,33.66,33.26,-6.9,10.84,-6.47,-7.2,-756.22,-2.84,-7.93,True
-4,510,-2.02,14,30,5.65,18.66,35.86,-11.07,13.74,-6.29,-2.94,-786.22,-1.37,,False
-1,48,-9.52,2.36,3,0.37,-146.34,19.8,6.3,19.78,-6.27,1.66,-492.22,3.65,-5.67,False
-4,60,-5.13,12.8,30,5.55,153.66,31.36,-7.14,13.02,-5.34,-4.98,-746.22,-2.51,-5.53,False
-14,645,-2.34,10,30,9.1,-71.34,31.16,-3.51,11.18,-6.16,-3.44,-916.22,-3.13,,False
-14,330,-2.35,12.5,30,6.5,108.66,34.56,-4.83,11.1,-5.03,-2.92,-856.22,-2.66,-6.69,False
-3,99,-8.55,2.6,3,0.46,-131.34,18.88,6.96,24.84,-5.98,9.44,-464.22,1.46,,False
1,3,-7.39,3.74,3,0.76,-86.34,20.76,4.86,21.88,-6.06,2.18,-512.22,2.65,,True
-24,1170,-4.2,12.7,30,5.65,-236.34,33.06,-4.86,16.56,-6.1,-4.86,-626.22,-3.38,-5.35,False
-4,195,-3.81,18,30,8.3,123.66,33.06,-7.89,11.34,-5.51,-9.28,-746.22,-1.81,,True
-4,90,-3.49,11.2,30,6.95,168.66,30.96,-6.36,13.12,-6.14,-3.5,-756.22,-2.96,,False
-24,795,-2.08,19,30,7.4,-146.34,34.16,-10.17,10.54,-4.38,-5.68,-786.22,-4.14,,True
-1,42,-6.5,2.06,3,0.79,-143.34,20.08,13.92,21.5,-6.35,1.16,-456.22,1.18,,True
-14,30,-3.03,13.6,30,6,93.66,36.16,-3.63,11.96,-5.54,-7.04,-856.22,-2.39,,True
-4,615,-2.08,16.6,30,10,78.66,33.56,-11.61,11.04,-6.57,-8,-746.22,-2.87,-7.47,True
-1,9,-7.44,3.76,3,0.51,-137.34,20.1,10.23,19.42,-5.03,-0.46,-478.22,0.71,-7.38,True
-1,96,-8.31,3.8,3,0.69,-50.34,19.16,5.52,20.88,-5.87,0.78,-478.22,1.26,,False
-24,615,-3.93,29.7,30,5.9,-356.34,28.36,2.1,14.28,-4.73,-0.6,-676.22,-0.35,,False
-4,165,-2.95,12.9,30,5.2,3.66,31.26,-5.16,17.62,-6.28,-4.3,-656.22,-0.83,,False
-14,330,-2.32,12.6,30,6.65,-71.34,34.76,-9.78,9.56,-5.17,-9.24,-736.22,-4.05,-8.27,True
-4,960,-5.49,12.1,30,5.6,93.66,29.66,-7.86,13.14,-7.02,-6.9,-516.22,-1.13,-4.58,False
-4,915,-1.93,21.1,30,5.75,78.66,37.96,-11.58,8.72,-6.03,-9.4,-566.22,-3.68,-8.31,True
-14,45,-2.24,19.3,30,7.4,153.66,32.96,-10.08,12.8,-7.35,-8.46,-696.22,-3.41,,True
2,0,-6.81,3.14,3,0.11,-53.34,20.58,3.69,19.14,-5.6,8.76,-464.22,0.67,,True
-14,840,-4.14,21.6,30,7.25,-161.34,29.86,-8.34,13.48,-4.72,-4.96,-646.22,-2.9,-6.59,False
-3,180,-6.96,3.76,3,0.39,-104.34,20.74,3.48,21.86,-5.72,1.1,-504.22,2.11,,True
-1,78,-8.54,3.56,3,0.34,-83.34,20.16,9.96,21.3,-5.62,1.12,-536.22,2.85,,False
-3,108,-11.69,3.28,3,0.26,-140.34,20.34,8.94,19.12,-6.31,0.02,-470.22,3.32,,True
-4,675,-2.91,28.2,30,7.4,63.66,31.46,-8.64,10.68,-6.22,-7.6,-546.22,-2.58,,True
-14,975,-5.77,13.6,30,9.15,-326.34,29.56,-10.62,11.82,-6.68,-9.68,-606.22,-3.45,-6.62,False
-14,60,-3.13,11.5,30,6.3,-281.34,32.16,-4.86,11.16,-3.94,-8.66,-766.22,-2.15,-7.02,False
1,102,-6.5,1.72,3,1.03,-86.34,20.1,9.12,24.38,-7.47,-0.78,-482.22,3.46,-7.01,True
-3,198,-7.57,2.62,3,0.66,-137.34,20.24,9.87,20.34,-6.11,7.32,-490.22,1.09,,True
-1,36,-7.05,3.86,3,0.48,-71.34,20.36,3.87,21.42,-5.59,5.54,-538.22,0.71,-7.2,False
-14,120,-6.02,19.6,30,8.2,-161.34,29.56,-6.42,13.26,-4.7,-7.28,-926.22,-2.26,,False
-4,570,-5.57,16.4,30,9.4,18.66,29.56,3.72,11.44,-7.42,-7.32,-746.22,-3.45,-5.65,False
-3,36,-8.42,1.14,3,0.4,-134.34,19.76,4.35,20.88,-8.9,1.26,-534.22,1.23,-6.42,False
-1,60,-9.09,1.8,3,0.29,-74.34,20.92,2.97,23.44,-5.9,2.76,-500.22,1.44,,True
-3,18,-7.22,1.22,3,0.39,-110.34,20.26,6.6,24.28,-6.37,2.9,-468.22,0.81,,True
-1,195,-7.14,2.74,3,0.67,-65.34,20.2,11.19,21.16,-6.06,0.04,-526.22,2.57,,True
-3,78,-9.41,2.24,0,0.69,-134.34,19.64,6.06,19.56,-6.08,1.68,-484.22,1.95,,True
-4,450,-2.19,27.8,30,7.95,93.66,30.56,-10.71,13.76,-6.47,-9.18,-556.22,-3.66,,True
1,45,-7.69,3.1,3,0.72,-74.34,20.1,3.48,19.18,-7.44,-0.12,-540.22,1.21,-6.83,False
-24,420,-3.29,10.6,30,7.7,-296.34,29.16,-9.06,16.54,-8.09,-7.52,-506.22,-3.04,,True
-14,345,-2.06,11,30,7.1,-26.34,33.56,-2.61,12.32,-5.45,-6.3,-496.22,-3.55,,True
-24,1005,-2.15,15.5,30,8.85,-251.34,31.36,-9.66,12.08,-4.87,-6.22,-736.22,-3.01,-9.03,True
-4,525,-5.45,12.6,30,5.1,183.66,35.76,-3.87,17.44,-8.04,-5.94,-916.22,-3.44,,False
-14,570,-5.27,22,30,7.35,-71.34,28.76,0.03,14.68,-4.24,-4.42,-876.22,-1.95,,False
-14,240,-2.27,18.8,30,5.6,-281.34,32.26,-8.7,10.84,-5.61,-7.86,-496.22,-3.46,,False
-4,300,-1.85,25,30,7.8,108.66,30.86,-7.02,12.36,-4.65,-9.8,-486.22,-3.05,,True
-3,48,-8.45,1.52,3,0.94,-140.34,20.02,3.63,22.52,-7.42,-0.42,-528.22,1.77,-7.34,True
-14,195,-3.05,17,30,8.15,123.66,29.86,-6.81,11.88,-4.62,-6.34,-816.22,-2.88,,False
-14,150,-1.86,11.5,30,6.4,-281.34,33.46,4.59,11.98,-4.13,-8.66,-616.22,-4.06,-7.85,True
-14,1005,-3.35,13.1,30,7.5,-386.34,32.86,0.51,11.44,-5.39,-8.58,-916.22,-2.7,-6.32,False
1,3,-8.95,3.2,3,0.86,-86.34,20.14,3.18,19.32,-5.56,-0.22,-496.22,1.14,-8.35,True
-1,6,-7.19,2.52,3,0.62,-44.34,19.52,6.45,23.48,-5.49,2.38,-476.22,1.72,,False
-1,87,-7.49,0.84,3,0.67,-80.34,20.82,2.94,18.9,-5.85,-0.58,-522.22,2.15,,True
-3,21,-7.74,1.26,3,1.07,-140.34,19.32,5.43,21.54,-5.56,1.04,-518.22,1.5,-6.33,True
-4,300,-2.36,26.9,30,8.3,123.66,30.26,-7.92,10.1,-4.54,-6.7,-606.22,-3.52,-7.1,True
-3,15,-7.17,2.04,3,0.32,-107.34,20.46,7.59,24.92,-7.14,0.56,-490.22,2.28,-7.96,True
-1,99,-6.45,2.1,3,0.98,-134.34,20.44,8.64,19.5,-5.72,0.3,-480.22,2.78,-7.76,True
-14,1050,-2.04,12.1,30,5.35,-191.34,34.26,-5.31,9.76,-6.66,-9.76,-636.22,-3.19,-6.56,False
-3,135,-7.24,2.8,3,0.33,-113.34,20.72,10.56,21.2,-7.89,3.64,-532.22,1.44,,False
-3,60,-10.48,1.88,3,0.55,-113.34,19.7,4.35,24.88,-6.11,1.42,-500.22,2.85,,False
-4,825,-1.54,22.8,30,8.8,-71.34,33.96,-2.64,8.98,-6.49,-6.62,-736.22,-3.68,-7.65,True
-4,795,-2.78,10.7,30,9.2,93.66,30.06,-5.58,24.34,-6.13,-5.36,-886.22,-1.51,,False
1,39,-6.72,2.48,3,0.71,-74.34,19.36,8.13,21.46,-6.73,1.8,-470.22,3.5,,False
-1,198,-7.21,3.42,3,0.97,-116.34,20.78,19.14,19.06,-6.19,1.12,-538.22,0.87,,True
-24,795,-4.59,26.6,30,5.8,-131.34,29.46,-2.73,15.78,-4.73,-3.74,-886.22,0.12,-6.09,False
-1,108,-10.75,3.26,3,0.74,-89.34,19.26,7.98,23.76,-6.64,-0.1,-474.22,1.03,,False
-14,945,-1.45,12.5,30,9.45,-41.34,33.06,-9.9,11.62,-6.08,-7.9,-566.22,-3.74,-7.57,True
-3,6,-7.6,2.6,3,0.42,-110.34,19.04,9.06,20.6,-5.35,1.54,-504.22,1.53,,False
-14,810,-3.46,15.2,30,9.7,3.66,31.36,-9.42,12.44,-5.66,-9.26,-746.22,-3.42,-6.63,False
-1,18,-7.43,3.56,3,0.14,-47.34,20.32,4.68,23.48,-6.6,0.2,-464.22,1.83,,False
-3,39,-7.64,3.8,3,0.12,-131.34,20.16,7.74,22.54,-5.71,1.62,-456.22,0.85,,True
-1,45,-6.77,2.66,3,0.72,-119.34,20.1,10.74,21.62,-6.05,1.12,-492.22,2.51,,True
-24,285,-4.43,12.9,30,5.25,-236.34,29.76,-2.43,16,-4.74,-4.5,-796.22,-1.85,-5.84,False
-4,915,-1.78,12.5,30,9.2,-71.34,34.56,-11.19,9.12,-7.28,-9.1,-576.22,-3.95,-7.3,True
-4,255,-3.9,12.7,30,5.8,33.66,30.66,-6.93,13.02,-5.5,-7.32,-736.22,-2.65,-6.57,False
-14,525,-1.74,14.9,30,6.55,108.66,36.46,-9.6,8.42,-6.87,-11.02,-566.22,-4.21,-8.89,True
1,72,-7.91,2.6,3,0.94,-62.34,19.82,5.31,26.12,-5.63,-0.6,-488.22,2.4,-8.1,True
-3,21,-7.47,3.54,3,0.22,-158.34,19.94,14.46,20.24,-4.92,1,-474.22,2.21,-7.71,True
-4,1005,-4.8,11.3,30,7.6,-41.34,29.46,-4.38,13.92,-8.16,-4.28,-816.22,-2.53,,False
-14,750,-1.4,13.6,30,8.2,-71.34,36.06,-11.85,10.9,-5.88,-9.94,-546.22,-3.03,,True
-4,495,-2.16,16.2,30,5.45,78.66,37.16,-10.35,10.3,-6.3,-9.64,-886.22,-1.83,-7.01,False
-1,117,-11.04,3.68,3,0.18,-131.34,19.78,6.69,21.18,-5.43,0.48,-524.22,1.48,-6.53,False
-3,81,-12.51,3.58,3,0.98,-122.34,20.78,2.82,18.4,-7.5,3.74,-468.22,1.26,,True
-1,132,-6.81,3.84,3,1.04,-134.34,19.08,5.01,19.82,-7.08,6.6,-522.22,3.93,-6.69,False
-1,18,-6.56,4.02,3,0.36,-119.34,20.8,10.38,20.82,-7.04,0.06,-496.22,1.41,,True
-1,102,-8.26,1.98,3,0.66,-59.34,20.04,24.75,20.2,-5.87,1.42,-486.22,5.15,-9.15,True
-1,3,-8.32,3.08,3,1.01,-92.34,19.18,7.98,24.72,-8.17,3.4,-522.22,2.49,,False
-4,855,-3.52,12.6,30,5.35,-26.34,33.86,-8.73,10.56,-6.3,-8.88,-686.22,-3.31,,False
-14,1080,-2.06,26.6,30,8.35,18.66,29.06,-8.61,11.06,-5.87,-7.86,-466.22,-3.37,,False
-14,1125,-3.25,15.4,30,6.85,138.66,31.66,-5.37,14.06,-6.64,-7.88,-906.22,-2.78,-7.08,False
-4,420,-1.74,11.2,30,9.65,18.66,31.86,-10.89,9.64,-5.88,-5.22,-596.22,-2.4,-8.56,True
-14,885,-1.85,21,30,6.7,-206.34,32.96,-6.87,11.14,-5.76,-2.66,-506.22,-3.91,,True
-14,360,-4.1,21.6,30,6.1,-56.34,32.16,-7.65,12.9,-5.9,-6.86,-846.22,-0.78,-6.75,False
-3,198,-9.03,3.16,3,0.77,-155.34,20.54,3.36,23.54,-5.59,2.86,-534.22,1.67,,True
-4,780,-2.26,28.6,30,7.05,-71.34,30.86,-4.23,18.9,-5.44,-6.18,-586.22,-2.99,,False
-9,240,-3.49,20.5,30,6.8,-116.34,30.06,-5.64,13.82,-4.18,-7.4,-696.22,-2.7,-6.6,False
-14,705,-2.23,13.6,30,8.05,198.66,34.66,-12.75,9.26,-8.52,-5.44,-526.22,-3.13,,True
-1,24,-6.7,2.72,3,0.51,-140.34,20.72,7.29,24.56,-5.16,2.08,-536.22,1.64,-7.32,True
-1,9,-7.92,1.52,3,0.98,-134.34,19.96,3.33,20.96,-7.51,-0.46,-484.22,2.54,,True
-14,555,-2.03,12.4,30,5.6,48.66,32.76,-0.51,13.36,-7.47,-4.02,-496.22,-3.38,,False
-14,255,-2.78,21.3,30,5.15,138.66,34.16,-6.69,13.12,-4.28,-6.74,-906.22,-3.03,,False
-24,165,-2.28,12.4,30,6.65,-191.34,31.96,-1.41,10.3,-5.17,-9.08,-606.22,-3.33,,False
-14,525,-3.31,14.2,30,8.35,-206.34,28.86,-4.35,11.9,-4.85,-5.9,-746.22,-3.13,,False
1,60,-8.02,2.52,3,0.03,-47.34,20.74,3.78,19.84,-6.25,8.44,-452.22,1.18,-8.13,True
-14,1005,-2.03,11.1,30,8.25,-161.34,35.66,-9.51,9.2,-6.6,-10.6,-756.22,-3.4,-7.05,True
-4,180,-3.95,16.9,30,7.45,93.66,30.76,-5.94,11.48,-6.76,-6.82,-836.22,-2.13,-5.54,False
1,183,-6.63,2.62,3,0.68,-71.34,20.8,6.18,18.58,-7,1.52,-478.22,1.64,-6.02,True
-14,30,-3.87,19.4,30,5.85,198.66,30.76,-5.37,15.04,-6.85,-6.86,-846.22,-1.93,,False
-1,48,-7.63,1.2,3,0.47,-161.34,20.76,3.99,18.8,-6.81,4.5,-474.22,1.29,,True
-4,525,-2.18,23.3,30,7.4,48.66,31.86,-10.14,9.8,-5.91,-5.7,-616.22,-2.58,-8.42,True
-4,30,-2.28,13.5,30,6.6,-41.34,31.46,-9.6,10.34,-4.55,-5.96,-546.22,-3.07,,True
-1,150,-6.99,2.04,3,0.24,-149.34,20.18,4.5,21.1,-7.74,2.38,-470.22,2.58,-6.5,False
-4,495,-2.46,26.1,30,7.4,-86.34,32.96,-8.52,13.2,-6.92,-7.02,-866.22,-2.65,-5.83,True
-1,51,-8.43,2.32,3,0.16,-113.34,20.42,9.87,21.86,-6.92,0.8,-526.22,1.45,,False
-24,570,-1.67,16.7,30,6.65,-131.34,34.26,-10.29,10.82,-4.74,-10.44,-546.22,-3.79,-8.38,True
-1,174,-7.67,2.28,3,0.99,-122.34,20.54,2.73,20.12,-6.15,-0.42,-472.22,0.96,,True
-14,90,-3.07,19.1,30,6.5,3.66,31.76,-2.43,11.68,-4.35,-8.34,-746.22,-3.23,-6.46,False
-14,990,-2.22,11.1,30,9.7,-131.34,33.96,-12.27,10.8,-5.79,-6.26,-806.22,-4.13,,False
-4,495,-2.18,17.7,30,6.25,63.66,33.96,-10.05,11.62,-6.95,-9.18,-736.22,-3.66,,False
-4,90,-2.57,19.9,30,6.75,123.66,30.66,-9.06,11.34,-4.54,-0.9,-576.22,-3.64,-6.29,False
-4,1170,-1.91,25,30,5.7,-26.34,38.46,-9.78,10.18,-6.33,-11.16,-526.22,-2.85,,True
-3,21,-8.93,3.26,3,0.91,-155.34,19.6,3.78,21.18,-4.92,2.14,-538.22,2.13,,True
-4,195,-2.98,13.1,30,8.35,-11.34,33.06,-6.96,10.96,-5.98,-10,-846.22,-3.62,,True
-1,210,-9.12,3.38,3,0.79,-149.34,19.64,3.48,21.76,-7.47,1.16,-450.22,4.6,,True
-14,165,-2.51,14.2,30,8.3,-341.34,30.76,-9.45,9.62,-3.89,-8.38,-556.22,-3.13,-5.8,False
-4,330,-3.72,16.6,30,5.05,-101.34,29.86,-7.41,14.54,-5.37,-6.48,-446.22,-2.2,-5.27,False
2,0,-8.35,1.66,3,0.72,-56.34,20.34,3.99,19.96,-6.02,-0.68,-520.22,0.72,,True
-14,105,-6.73,23.9,30,7,198.66,29.36,2.52,14.08,-4.19,-6.96,-796.22,-1.84,,False
-14,570,-2.19,17.1,30,10.15,108.66,31.56,-10.77,10.72,-5.16,-3.9,-706.22,-3.97,-7.55,True
-3,45,-7.35,0.96,3,0.47,-113.34,20.16,7.2,19.76,-9.44,1.74,-536.22,3.32,-7.47,False
-9,945,-1.62,13.7,30,5.15,-116.34,35.96,-9.78,9.46,-6.85,-9.44,-546.22,-4.31,-7.34,False
-3,39,-7.6,3.82,3,0.65,-110.34,19.92,9.96,21.74,-5.38,0.68,-542.22,1.27,,True
-4,510,-3.86,25.6,30,7.15,63.66,30.76,-4.68,11.58,-4.93,-3.1,-726.22,-1.17,-6.02,False
-1,12,-8.5,3.18,3,0.62,-155.34,20.58,3.96,23.64,-5.14,1.14,-522.22,1.88,,True
-1,108,-9.79,3.74,3,0.02,-155.34,20.32,7.14,19.84,-6,0.1,-478.22,3.1,,True
-14,300,-1.72,14.2,30,8.5,168.66,33.16,-10.74,9.1,-5.61,-7.74,-706.22,-3.74,,True
-1,60,-7.33,3.9,3,0.94,-137.34,19.54,7.68,19.32,-6.14,-0.44,-480.22,1.11,-8.6,True
-4,795,-2.08,19.9,30,9.4,-71.34,33.26,-6.57,10.78,-5.9,-9.12,-816.22,-4.07,-7.29,True
-3,186,-7.38,2.52,3,0.54,-137.34,20.02,4.86,21.76,-5.79,1.6,-516.22,0.95,,False
-1,15,-7.68,0.4,3,0.12,-116.34,20.48,3.72,24.3,-5.61,1.14,-498.22,2.28,-6.71,False
-4,585,-6.06,17.6,30,5.35,93.66,30.76,-5.58,17.5,-8.66,-4.64,-676.22,-1.03,,False
-1,195,-7.3,2.82,3,0.56,-128.34,20.1,6.87,20.86,-6.44,1.08,-508.22,0.87,,False
-1,201,-6.85,3.54,3,0.7,-140.34,20.36,2.97,21.68,-7.65,-0.64,-474.22,0.52,-7.78,True
-14,975,-4.81,27.1,30,5.15,-266.34,29.36,-3.51,15.04,-4.66,-3.1,-656.22,-2.28,-4.72,False
-4,765,-2.7,18.4,30,7.1,-101.34,30.16,-7.53,14.2,-7.55,-2.8,-676.22,-3.11,,False
-3,204,-6.75,3.48,3,0.39,-128.34,19.68,13.59,20.64,-5.79,-0.06,-490.22,1.09,-6.86,False
-14,150,-2.77,13,30,6.4,3.66,33.56,-6.42,12.98,-6.74,-7.02,-806.22,-3.63,-6.26,True
-14,750,-3.2,16.1,30,6.65,-296.34,31.26,-3.54,12,-4.98,-7.52,-756.22,1.37,-6.17,False
-1,81,-7.5,0.68,3,1,-131.34,19.92,3.21,20.04,-5.57,1.26,-482.22,0.8,-6.89,True
-1,174,-8.35,2.64,3,0.81,-74.34,20.28,7.05,19.06,-7.52,1.5,-468.22,1.6,,True
-1,108,-8.85,3.12,3,0.43,-74.34,20.52,8.01,19.28,-6.22,0.2,-538.22,1.07,,False
-3,114,-7.97,3.8,3,0.76,-161.34,19.04,7.77,23.96,-5.66,4.5,-480.22,1.64,-8.56,True
-1,18,-6.86,1.82,3,0.62,-113.34,19.24,5.88,19.84,-6.68,1.94,-484.22,2,,False
-14,885,-3.31,22.4,30,6.9,-221.34,29.86,-2.58,15.18,-4.94,-7.28,-806.22,-2.18,-6.86,False
1,48,-6.81,2.34,3,0.62,-59.34,20.72,6.3,18.56,-6.94,1.1,-466.22,0.51,,True
-14,285,-2.53,15.2,30,8.05,-326.34,30.16,-8.64,16.24,-4.85,-8.72,-636.22,-2.92,-6.62,False
-3,147,-8.6,2.26,3,0.8,-125.34,19.56,7.38,19.74,-8.02,0.38,-506.22,2,-6.43,False
-14,1050,-2.88,23.7,30,5.75,-56.34,31.86,-7.14,11.88,-5.34,-6.8,-736.22,-1.64,-6.28,False
-3,54,-7.35,0.92,3,0.79,-158.34,19.64,4.26,21.82,-8.69,-0.02,-540.22,1.92,-7.5,False
-1,93,-9.75,3.12,3,0.59,-47.34,19.7,7.53,23.14,-6.41,0.54,-536.22,2,,False
-1,51,-11.42,3.82,3,0.29,-158.34,18.76,13.32,20,-5.92,2.94,-532.22,1.19,-6.5,False
1,60,-7.1,3.4,3,0.8,-44.34,20.12,4.92,23.32,-5.58,4.64,-488.22,1.82,,True
-1,180,-7.11,4.36,3,0.61,-68.34,20.74,3.51,18.82,-6.06,0.2,-508.22,1.92,-7.65,True
-3,48,-7.78,1.94,3,0.86,-107.34,20.1,3.78,24.02,-5.89,1.26,-516.22,2.4,-8.32,True
-3,75,-8.66,3.72,3,0.56,-125.34,18.76,6.75,19.7,-5.56,7.1,-498.22,3.12,,False
-1,69,-7.21,3.66,3,0.4,-50.34,20.22,4.47,21.96,-8.4,-0.1,-484.22,3.33,,False
-14,480,-4.05,20.3,30,7,78.66,32.76,0.12,16.48,-5.16,-6.68,-906.22,0.47,,False
-4,1035,-4.11,21.1,30,5.1,168.66,34.96,-8.79,13.08,-6.43,-6.9,-716.22,-2.6,,False
1,15,-1.86,11.7,30,9.05,183.66,31.46,-8.25,10.38,-5.57,-7.38,-526.22,-3.65,,True
-1,9,-7.17,3.54,3,0.76,-53.34,19.62,7.47,20.56,-6.09,0.76,-484.22,2.51,,False
-1,99,-8.49,1.44,3,0.09,-149.34,20.7,4.8,19.06,-7.01,1.08,-512.22,1.19,-6.27,False
-14,1095,-7.5,11.4,30,8.65,-281.34,30.86,-7.8,13.3,-6.21,-5.9,-896.22,-0.84,,False
-24,660,-3.95,23.2,30,7.3,-206.34,28.36,-5.88,17.98,-4.34,-7.26,-616.22,-2.47,,False
-24,495,-4.42,10.8,30,8.3,-416.34,33.06,-7.38,10.78,-4.82,-7.62,-936.22,-3.2,,False
-24,1140,-2.98,13,30,9.85,-326.34,33.76,-3.42,9.56,-5.26,-9.54,-836.22,-2.87,-8.17,True
-4,600,-1.65,13.2,30,7.15,-26.34,37.16,-12.09,9.06,-5.94,-9.62,-706.22,-4.45,,True
-4,930,-1.94,23.8,30,7.05,78.66,34.66,-8.88,11.88,-6.96,-8.4,-876.22,-4.03,-7.02,False
-14,450,-2.95,13.1,30,6.9,138.66,31.56,-1.83,15.5,-9.44,-4.92,-846.22,-3.04,-6.15,False
-1,108,-7.9,1.44,3,0.75,-71.34,20.24,10.56,19.84,-7.14,2.98,-534.22,0.76,-7.84,True
1,99,-8.13,1.98,3,0.91,-95.34,20.56,4.17,25.88,-7.2,1.18,-516.22,0.79,,True
-4,210,-2.83,17.5,30,7.2,3.66,28.86,-6.09,11.3,-4.54,-5.22,-496.22,1.45,-5.79,False
-1,48,-9.23,4.14,3,0.78,-134.34,19.72,3.66,25.04,-5.43,4.72,-546.22,2.05,-8.04,True
-3,39,-8.7,1.62,3,0.47,-128.34,19.96,6.18,19.64,-5.43,0.7,-484.22,2.15,-8.28,True
-1,135,-7.67,1.46,3,0.5,-116.34,20.58,7.77,25.56,-6.25,2.62,-536.22,1.23,-8.62,True
-1,45,-10.28,1.44,3,0.33,-128.34,20.62,9.24,27.44,-9.75,3,-528.22,1.46,,False
-4,1065,-3.55,23.1,30,5.55,63.66,28.86,-0.69,15.88,-7.46,-3.96,-596.22,-0.63,-5.36,False
-4,165,-5.48,26.3,30,6.85,-86.34,29.56,-5.43,14.82,-4.66,-5,-486.22,-3.11,-5.79,False
-14,165,-4.07,23.2,30,6.85,-41.34,30.96,0.6,10.72,-5.08,-6.4,-656.22,-3.4,,False
1,87,-8.32,2.66,3,0.69,-71.34,20.1,5.4,21.48,-6.35,-0.5,-532.22,0.84,,False
-1,48,-7.74,3.64,3,0.58,-110.34,20.02,4.53,19.24,-5.84,0.42,-504.22,0.87,,True
-14,720,-4.53,15.8,30,5.3,-146.34,30.96,-0.03,11.54,-6.56,-7.36,-516.22,-2.79,-6.28,False
-3,48,-6.77,0.54,3,0.24,-122.34,19.8,8.91,19.34,-7.52,1.38,-482.22,2.14,,False
-24,1095,-1.36,12.8,30,8.05,-371.34,36.56,-11.31,9.4,-5.85,-10.54,-786.22,-1.53,,True
-1,57,-6.86,2.68,3,0.58,-98.34,20.12,4.83,25.58,-6.93,5.94,-462.22,1.59,,True
-2,33,-7.69,2.18,3,0.9,-101.34,19.1,10.89,19.82,-8.4,2.1,-490.22,2.83,-6.56,False
-3,12,-6.87,2.9,3,0.51,-128.34,19.2,3.6,21.4,-5.28,0.96,-452.22,8.67,,True
-1,54,-7.19,3.94,3,0.58,-83.34,19.66,3.6,22.52,-5.39,-0.3,-492.22,1.12,,False
-1,102,-7.06,2.04,3,0.38,-122.34,20.36,6.09,19.86,-6.15,1.02,-506.22,0.66,,False
1,90,-7.68,4,3,0.62,-80.34,20.4,8.76,19.2,-5.74,-0.26,-488.22,3.74,,True
-14,600,-2.59,11.1,30,7.05,-251.34,31.56,-7.62,10.94,-8.93,-8.62,-796.22,-3.16,-5.63,False
-4,690,-3.04,27.5,30,8.7,138.66,31.26,-7.17,10.56,-7.06,-9.88,-706.22,-3.02,,False
-24,960,-2.25,23.3,30,9.5,-146.34,30.46,-9.09,13.02,-4.84,-4.28,-456.22,-3.6,,True
-3,30,-6.73,3.28,3,0.64,-128.34,19.66,5.37,20.66,-5.07,-0.3,-494.22,6.64,,True
-4,795,-4.15,28.2,30,5.35,63.66,31.56,-3.39,13.84,-5.94,-4.7,-626.22,-2.63,,False
-14,630,-1.89,25.8,30,8.85,123.66,31.26,-4.14,9.8,-4.6,-7.82,-606.22,-4.14,-8.76,True
-1,66,-9.15,2.34,3,0.61,-158.34,19.42,3.66,29.96,-5.9,0.48,-462.22,1.69,,False
-14,735,-1.89,19.2,30,9.15,-341.34,32.16,0.12,12.3,-5.12,-10.3,-586.22,-2.67,-8.11,True
-1,48,-10.91,1.7,3,0.33,-113.34,19.9,9.21,27.9,-7.37,4.46,-468.22,0.99,,False
-1,21,-6.86,3.02,3,0.22,-86.34,20.54,5.46,21.84,-7.98,0.84,-518.22,1.56,,False
-1,216,-6.97,3.94,3,0.91,-134.34,20.26,5.97,20.18,-9.03,2.56,-526.22,1.97,-8.57,True
-14,300,-5.22,27.2,30,6.3,93.66,31.26,-7.65,11.38,-4.23,-8.62,-686.22,-1.56,-5.91,False
-0,0,-7.92,0.82,3,0.47,-98.34,20.52,3.96,23.5,-5.88,0.28,-536.22,2.62,,False
-1,27,-13.65,2.78,3,0.06,-152.34,20.6,6.69,19.98,-6.79,1.8,-520.22,1.48,,True
-14,495,-4.93,14.9,30,7.1,-311.34,28.46,-3.3,19.72,-4.15,-6.1,-836.22,-0.15,-5.45,False
